India,157047,360795,12066,191637
Maharashtra,50044,113445,5537,57851
Tamil Nadu,21993,50193,576,27624
Delhi,26351,44688,1837,16500
Gujarat,6149,25148,1561,17438
Uttar Pradesh,5477,15181,465,9239
Rajasthan,2904,13338,309,10125
West Bengal,5262,12300,506,6532
Madhya Pradesh,2374,11244,482,8388
Haryana,4493,8381,118,3770
State Unassigned,8273,8273,0,0
Karnataka,2823,7734,103,4804
Andhra Pradesh,3340,7071,90,3641
Bihar,2125,6940,39,4776
Telangana,2412,5675,192,3071
Jammu and Kashmir,2428,5406,64,2914
Assam,1952,4606,8,2643
Odisha,1277,4338,14,3047
Punjab,881,3497,78,2538
Kerala,1352,2698,21,1324
Uttarakhand,730,2023,26,1254
Chhattisgarh,756,1864,9,1099
Jharkhand,734,1895,10,1151
Tripura,576,1133,1,556
Ladakh,594,687,1,92
Goa,560,656,0,96
Himachal Pradesh,199,585,7,368
Manipur,360,552,0,192
Chandigarh,58,370,6,306
Puducherry,131,245,5,109
Nagaland,90,193,0,103
Mizoram,120,121,0,1
Arunachal Pradesh,92,99,0,7
Sikkim,66,70,0,4
Dadra and Nagar Haveli and Daman and Diu,47,59,0,12
Andaman and Nicobar Islands,11,44,0,33
Meghalaya,13,43,1,29
Lakshadweep,0,0,0,0
